stop_id,stop_code,stop_name,tts_stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station,stop_timezone,wheelchair_boarding,level_id,platform_code,stop_access
3900,3900,Teenpuliya ,Teenpuliya ,,22.74381,75.87409,,,0,,Asia/Kolkata,0,,,
3901,3901,Dhanvantri Nagar,Dhanvantri Nagar,,22.67199,75.83024,,,0,,Asia/Kolkata,0,,,
3903,3903,Teen Imli,Teen Imli,,22.68889,75.88449,,,0,,Asia/Kolkata,0,,,
3905,3905,T.I.,T.I.,,22.72158,75.87766,,,0,,Asia/Kolkata,0,,,
3906,3906,Dravid Nagar,Dravid Nagar,,22.70127,75.83794,,,0,,Asia/Kolkata,0,,,
3907,3907,Essar Pump/ Pawanpuri Colony,Essar Pump/ Pawanpuri Colony,,22.68982,75.88923,,,0,,Asia/Kolkata,0,,,
3908,3908,DRP Line,DRP Line,,22.7278,75.8629,,,0,,Asia/Kolkata,0,,,
3911,3911,Sanchar Nagar,Sanchar Nagar,,22.72248,75.91727,,,0,,Asia/Kolkata,0,,,
3912,3912,Royal Bungalow,Royal Bungalow,,22.76231,75.92565,,,0,,Asia/Kolkata,0,,,
3913,3913,Electronic Complex,Electronic Complex,,22.75065,75.86936,,,0,,Asia/Kolkata,0,,,
3914,3914,Royal Bungalow (Sukhliya),Royal Bungalow (Sukhliya),,22.76251,75.87349,,,0,,Asia/Kolkata,0,,,
3915,3915,Regal Square,Regal Square,,22.7201,75.87128,,,0,,Asia/Kolkata,0,,,
3916,3916,Excellent School,Excellent School,,22.73584,75.83723,,,0,,Asia/Kolkata,0,,,
3917,3917,Footi Kothi,Footi Kothi,,22.69364,75.82756,,,0,,Asia/Kolkata,0,,,
3919,3919,G.D.C,G.D.C,,22.72872,75.84611,,,0,,Asia/Kolkata,0,,,
3922,3922,G.S.I.T.S.,G.S.I.T.S.,,22.72519,75.87421,,,0,,Asia/Kolkata,0,,,
3923,3923,Gandhi Hall/Palika Plaza_2,Gandhi Hall/Palika Plaza_2,,22.71901,75.86575,,,0,,Asia/Kolkata,0,,,
3925,3925,Gandhi Hall/Palika Plaza_1,Gandhi Hall/Palika Plaza_1,,22.71976,75.86529,,,0,,Asia/Kolkata,0,,,
3926,3926,Gandhi Nagar,Gandhi Nagar,,22.73908,75.79089,,,0,,Asia/Kolkata,0,,,
3927,3927,Relax Garden,Relax Garden,,22.68945,75.82558,,,0,,Asia/Kolkata,0,,,
3929,3929,Regional Park (A.B. Road),Regional Park (A.B. Road),,22.68243,75.8552,,,0,,Asia/Kolkata,0,,,
3931,3931,Ganesh Bagh,Ganesh Bagh,,22.74406,75.83943,,,0,,Asia/Kolkata,0,,,
3932,3932,Rasoma,Rasoma,,22.74865,75.89406,,,0,,Asia/Kolkata,0,,,
3933,3933,Ranjit Hanuman,Ranjit Hanuman,,22.69967,75.83583,,,0,,Asia/Kolkata,0,,,
3934,3934,Ranjeet Singh College,Ranjeet Singh College,,22.6792,75.87691,,,0,,Asia/Kolkata,0,,,
3936,3936,Rani Sati Gate,Rani Sati Gate,,22.72858,75.87449,,,0,,Asia/Kolkata,0,,,
3937,3937,Samar park,Samar park,,22.7632,75.92182,,,0,,Asia/Kolkata,0,,,
3938,3938,Ramchandra Pump / APTC,Ramchandra Pump / APTC,,22.72214,75.8346,,,0,,Asia/Kolkata,0,,,
3939,3939,Sangam Nagar,Sangam Nagar,,22.74049,75.83765,,,0,,Asia/Kolkata,0,,,
3941,3941,Rambali Nagar,Rambali Nagar,,22.73435,75.84081,,,0,,Asia/Kolkata,0,,,
3942,3942,Rambali Chouraha,Rambali Chouraha,,22.73756,75.84443,,,0,,Asia/Kolkata,0,,,
3943,3943,Rambagh,Rambagh,,22.72299,75.85797,,,0,,Asia/Kolkata,0,,,
3945,3945,Rajwada,Rajwada,,22.71842,75.85562,,,0,,Asia/Kolkata,0,,,
3948,3948,Rajkumar Mill1/ Rajkumar Bridge ,Rajkumar Mill1/ Rajkumar Bridge ,,22.72733,75.86464,,,0,,Asia/Kolkata,0,,,
